variavel: 03.Indústrias de transformação
caminho: /Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/03.Indústrias de transformação
fonte: Relação Anual de Informações Sociais
agrupador: Município
descricao: 
Município;ibge;latitude;longitude;"2018 (-)"
"Santo Augusto";4317806;-27,852599999990;-53,777600000000;219
"Santo Cristo";4317905;-27,826300000000;-54,661999999990;818
"Santo Expedito do Sul";4317954;-27,907399999990;-51,643300000000;13
"São Borja";4318002;-28,657800000000;-56,003599999990;1.021
"São Domingos do Sul";4318051;-28,531199999990;-51,886000000000;257
"São Francisco de Assis";4318101;-29,554700000000;-55,125300000000;11
"São Francisco de Paula";4318200;-29,440400000000;-50,582799999990;458
"São Gabriel";4318309;-30,333700000000;-54,321700000000;1.650
"São Jerônimo";4318408;-29,971599999990;-51,725099999990;827
"São João da Urtiga";4318424;-27,819500000000;-51,825699999990;41
"São João do Polêsine";4318432;-29,619399999990;-53,443899999990;156
"São Jorge";4318440;-28,498400000000;-51,706400000000;187
"São José das Missões";4318457;-27,778900000000;-53,122599999990;11
"São José do Herval";4318465;-29,052000000000;-52,295000000000;78
"São José do Hortêncio";4318481;-29,527999999990;-51,245000000000;481
"São José do Inhacorá";4318499;-27,725100000000;-54,127499999990;333
"São José do Norte";4318507;-32,015099999990;-52,033099999990;594
"São José do Ouro";4318606;-27,770700000000;-51,596600000000;148
"São José do Sul";4318614;-29,529000000000;-51,487099999990;86
"São José dos Ausentes";4318622;-28,747599999990;-50,067700000000;58
"São Leopoldo";4318705;-29,754500000000;-51,149799999990;17.331
"São Lourenço do Sul";4318804;-31,356400000000;-51,971499999990;509
"São Luiz Gonzaga";4318903;-28,411999999990;-54,955900000000;1.048
"São Marcos";4319000;-28,967700000000;-51,069600000000;3.731
"São Martinho";4319109;-27,711200000000;-53,969900000000;141
"São Martinho da Serra";4319125;-29,539700000000;-53,859000000000;6
"São Miguel das Missões";4319158;-28,556000000000;-54,555900000000;7
"São Nicolau";4319208;-28,183399999990;-55,265400000000;6
"São Paulo das Missões";4319307;-28,019500000000;-54,940399999990;56
"São Pedro da Serra";4319356;-29,419300000000;-51,513399999990;305
"São Pedro das Missões";4319364;-27,773219999990;-53,250470000000;0
"São Pedro do Butiá";4319372;-28,124300000000;-54,892600000000;126
"São Pedro do Sul";4319406;-29,620200000000;-54,185499999990;185
"São Sebastião do Caí";4319505;-29,588500000000;-51,374899999990;4.091
"São Sepé";4319604;-30,164300000000;-53,560299999990;474
"São Valentim";4319703;-27,558299999990;-52,523699999990;32
"São Valentim do Sul";4319711;-29,045100000000;-51,768400000000;195
"São Valério do Sul";4319737;-27,790600000000;-53,936799999990;8
"São Vendelino";4319752;-29,372900000000;-51,367500000000;337
"São Vicente do Sul";4319802;-29,688199999990;-54,682600000000;17
Sapiranga;4319901;-29,634899999990;-51,006500000000;14.340
"Sapucaia do Sul";4320008;-29,827600000000;-51,145000000000;5.623
Sarandi;4320107;-27,942000000000;-52,923099999990;1.972
Seberi;4320206;-27,482900000000;-53,402600000000;1.090
"Sede Nova";4320230;-27,636700000000;-53,949300000000;19
Segredo;4320263;-29,352300000000;-52,976700000000;9
Selbach;4320305;-28,629400000000;-52,949800000000;270
"Senador Salgado Filho";4320321;-28,025000000000;-54,550699999990;2
"Sentinela do Sul";4320354;-30,610700000000;-51,586199999990;206
"Serafina Corrêa";4320404;-28,712599999990;-51,935299999990;2.880
Sério;4320453;-29,390400000000;-52,268500000000;14
Sertão;4320503;-27,979800000000;-52,258800000000;62
"Sertão Santana";4320552;-30,456199999990;-51,601700000000;191
"Sete de Setembro";4320578;-28,136199999990;-54,463700000000;3
"Severiano de Almeida";4320602;-27,436199999990;-52,121699999990;57
"Silveira Martins";4320651;-29,646699999990;-53,591000000000;39
Sinimbu;4320677;-29,535699999990;-52,530500000000;162
