variavel: 18.Artes, cultura, esporte e recreação
caminho: /Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/18.Artes, cultura, esporte e recreação
fonte: Relação Anual de Informações Sociais
agrupador: Município
descricao: 
Município;ibge;latitude;longitude;"2018 (-)"
"Santa Vitória do Palmar";4317301;-33,524999999990;-53,371699999990;5
"Santana da Boa Vista";4317004;-30,869700000000;-53,109999999990;0
"Santana do Livramento";4317103;-30,887699999990;-55,531500000000;134
Santiago;4317400;-29,189699999990;-54,866599999990;46
"Santo Ângelo";4317509;-28,300100000000;-54,266800000000;136
"Santo Antônio da Patrulha";4317608;-29,826799999990;-50,517499999990;18
"Santo Antônio das Missões";4317707;-28,513999999990;-55,225099999990;1
"Santo Antônio do Palma";4317558;-28,495600000000;-52,026699999990;0
"Santo Antônio do Planalto";4317756;-28,403099999990;-52,699199999990;0
"Santo Augusto";4317806;-27,852599999990;-53,777600000000;4
"Santo Cristo";4317905;-27,826300000000;-54,661999999990;2
"Santo Expedito do Sul";4317954;-27,907399999990;-51,643300000000;0
"São Borja";4318002;-28,657800000000;-56,003599999990;37
"São Domingos do Sul";4318051;-28,531199999990;-51,886000000000;1
"São Francisco de Assis";4318101;-29,554700000000;-55,125300000000;1
"São Francisco de Paula";4318200;-29,440400000000;-50,582799999990;4
"São Gabriel";4318309;-30,333700000000;-54,321700000000;30
"São Jerônimo";4318408;-29,971599999990;-51,725099999990;13
"São João da Urtiga";4318424;-27,819500000000;-51,825699999990;0
"São João do Polêsine";4318432;-29,619399999990;-53,443899999990;0
"São Jorge";4318440;-28,498400000000;-51,706400000000;0
"São José das Missões";4318457;-27,778900000000;-53,122599999990;0
"São José do Herval";4318465;-29,052000000000;-52,295000000000;0
"São José do Hortêncio";4318481;-29,527999999990;-51,245000000000;0
"São José do Inhacorá";4318499;-27,725100000000;-54,127499999990;0
"São José do Norte";4318507;-32,015099999990;-52,033099999990;4
"São José do Ouro";4318606;-27,770700000000;-51,596600000000;4
