Município,agropecuario,transformacao/industrial,comercio e atividades essenciais,atividades financeiras servicos profissionais e tecnicos,administracao publica,saude,educacao e cultura,sum,classe
Sertão Santana,2.638888888888889,26.944444444444443,29.166666666666668,6.527777777777779,33.47222222222222,0.6944444444444444,0.5555555555555556,720,1
Sete de Setembro,2.2988505747126435,1.7241379310344827,12.643678160919542,1.7241379310344827,81.60919540229885,0.0,0.0,174,6
Severiano de Almeida,1.875,12.708333333333332,30.833333333333336,8.541666666666666,39.791666666666664,6.25,0.0,480,1
Silveira Martins,5.501618122977346,14.563106796116504,30.42071197411003,16.828478964401295,32.68608414239482,0.0,0.0,309,1
Sinimbu,0.4694835680751174,21.36150234741784,32.159624413145536,4.342723004694836,34.38967136150235,7.276995305164319,0.0,852,1
Sobradinho,1.1382799325463744,14.376053962900507,48.06070826306914,8.178752107925801,21.41652613827993,5.564924114671164,1.2647554806070826,2372,1
Soledade,3.561535417491096,22.2398100514444,42.22398100514444,9.814008705975464,16.06648199445983,4.3925603482390185,1.701622477245746,5054,4
Tabaí,11.715481171548117,23.01255230125523,29.009762900976288,3.765690376569038,32.357043235704325,0.1394700139470014,0.0,717,1
Tapejara,1.0218631178707225,56.92728136882129,23.96625475285171,5.442015209125476,7.24809885931559,3.3626425855513307,2.031844106463878,8416,2
Tapera,4.904250350303596,24.521251751517983,42.73703876693134,8.734236338159738,17.328351237739373,0.6071929005137786,1.1676786548341895,2141,4
Tapes,13.829787234042554,13.779128672745694,35.815602836879435,6.68693009118541,24.062816616008107,3.1408308004052685,2.684903748733536,1974,1
Taquara,1.1654796041069282,30.949958375728425,36.250115622976594,8.741097030801962,10.757561742669504,4.1439274812690785,7.991860142447507,10811,4
Taquari,6.691297208538588,30.80870279146141,32.71756978653531,11.001642036124796,11.637931034482758,4.495073891625616,2.647783251231527,4872,4
Taquaruçu do Sul,2.262443438914027,16.289592760180994,34.16289592760181,4.751131221719457,38.68778280542987,3.8461538461538463,0.0,442,1
Tavares,22.831858407079647,0.8849557522123894,27.964601769911507,3.7168141592920354,44.60176991150443,0.0,0.0,565,0
Tenente Portela,2.7485852869846403,12.206952303961197,38.641875505254646,9.175424413904608,16.289409862570736,20.16976556184317,0.7679870654810024,2474,4
Terra de Areia,3.997779011660189,18.933925596890617,43.75347029428095,5.6635202665186,23.098278734036644,2.7207107162687394,1.8323153803442533,1801,1
Teutônia,1.5488518685276902,54.07474110760918,23.016659162539398,8.176497073390365,7.185952273750564,2.764520486267447,3.2327780279153533,11105,2
Tio Hugo,2.3140495867768593,10.743801652892563,57.68595041322314,1.1570247933884297,27.933884297520663,0.0,0.1652892561983471,605,1
Tiradentes do Sul,1.7241379310344827,5.603448275862069,39.008620689655174,11.85344827586207,40.94827586206897,0.8620689655172413,0.0,464,1
Toropi,7.971014492753622,3.6231884057971016,27.536231884057973,2.536231884057971,58.333333333333336,0.0,0.0,276,3
Torres,0.3236245954692557,13.642799352750808,48.02791262135923,11.478559870550162,12.176375404530743,10.538025889967638,3.8127022653721685,9888,4
Tramandaí,0.14268466688618153,9.494018219734388,50.48842059049501,9.965975194819448,17.462408078147295,8.144001756118977,4.302491493798705,9111,4
